[2025-10-15T13:16:20.512Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - initializeRequestScopes called
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [8abcf0c7-145c-4e82-8b05-dd175e34c350] : @azure/msal-node@3.8.0 : Verbose - createAuthority called
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Executing function authorityResolveEndpointsAsync
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Retrieving all cache keys
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting cache key-value store
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Item key: authority-metadata-72e913b2-423c-4625-8fa3-c948512a9f1d-login.windows.net
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Getting cache key-value store
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Trace - Executing function authorityUpdateCloudDiscoveryMetadata
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Attempting to get cloud discovery metadata  from authority configuration
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Known Authorities:
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Authority Metadata: N/A
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Canonical Authority: https://login.microsoftonline.com/2d2199a8-cb98-4269-b2ae-c63cf2b7c7f0/
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Did not find cloud discovery metadata in the config... Attempting to get cloud discovery metadata from the hardcoded values.
[2025-10-15T13:16:20.513Z] [INFO] [Wed, 15 Oct 2025 13:16:20 GMT] : [] : @azure/msal-node@3.8.0 : Verbose - Found cloud discovery metadata from hardcoded values.
